#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Kawhi Leonard,LAC,2,40.2,34.5,12,22,0.545,3,5,0.6,7.5,8.5,0.882,1.5,5,6.5,6,2,0.5,3,2.5
2,Devin Booker,PHX,11,41.7,33.7,12.8,21.9,0.585,2.8,5.5,0.508,5.3,6.1,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4
3,Anthony Edwards,MIN,5,39.7,31.6,11,22.8,0.482,3,8.6,0.349,6.6,7.8,0.846,0.6,4.4,5,5.2,1.8,2,1.6,2.6
4,Stephen Curry,GSW,13,37.9,30.5,11.2,23.9,0.466,4.4,12.1,0.363,3.8,4.5,0.845,0.7,4.5,5.2,6.1,1,0.5,3.2,2.6
5,Nikola Jokic,DEN,20,39.4,30,11.4,20.7,0.548,1.8,3.8,0.461,5.6,7,0.799,3.5,10,13.5,9.5,1.1,1,3.5,3.5
6,Trae Young,ATL,6,38.3,29.2,10,24.8,0.403,3,9,0.333,6.2,7.2,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4,1.8
7,Kevin Durant,PHX,11,42.3,29,9.7,20.4,0.478,1.5,4.6,0.333,8,8.7,0.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6
8,Jalen Brunson,NYK,11,40.3,27.8,9.9,20.9,0.474,2.4,7.3,0.325,5.6,6.2,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4
9,De'Aaron Fox,SAC,7,38.5,27.4,10,23.6,0.424,3,9,0.333,4.4,5.9,0.756,1.7,3.7,5.4,7.7,2.1,0.6,4,3.3
10,Jayson Tatum,BOS,20,40,27.2,9.3,20.2,0.458,2.7,8.2,0.323,6,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2
11,Jimmy Butler,MIA,22,39.7,26.9,9.4,20.1,0.468,1.3,3.5,0.359,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7
12,Jamal Murray,DEN,20,39.9,26.1,9.7,20.5,0.473,3,7.5,0.396,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1
13,Ja Morant,MEM,5,37.4,24.6,9,21.2,0.425,2.6,6.2,0.419,4,5.2,0.769,1.6,5.2,6.8,7,1.8,0.2,3.4,2.4
14,LeBron James,LAL,16,38.7,24.5,9.2,18.4,0.498,1.8,6.6,0.264,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8
15,Khris Middleton,MIL,5,34.6,23.8,8,17.2,0.465,2.6,6.4,0.406,5.2,6,0.867,1.4,5,6.4,6.2,0.6,0,3.4,3
16,Joel Embiid,PHI,9,37.4,23.7,7.3,17,0.431,0.6,3.1,0.179,8.4,9.3,0.905,1.8,8,9.8,2.7,0.7,2.8,3.9,3
17,Russell Westbrook,LAC,5,38.5,23.6,8.6,21,0.41,2,5.6,0.357,4.4,5,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4,3
18,Desmond Bane,MEM,6,38.6,23.5,8.2,19.3,0.422,2.7,8.3,0.32,4.5,4.8,0.931,1.2,4.8,6,3.2,0.5,0,2.8,3.2
19,Mikal Bridges,BRK,4,39.3,23.5,8.3,19.3,0.429,2.5,6.3,0.4,4.5,5.8,0.783,0.5,4.8,5.3,4,0.5,0.5,2,1.3
20,Giannis Antetokounmpo,MIL,3,30.5,23.3,9.3,17.7,0.528,0,1,0,4.7,10.3,0.452,2.7,8.3,11,5.3,0.3,0.7,4.7,3
21,Donovan Mitchell,CLE,5,41.3,23.2,9,20.8,0.433,2.6,9,0.289,2.6,3.6,0.722,0.6,4.4,5,7.2,2,0.6,3.8,2.8
22,Dejounte Murray,ATL,5,38.1,23,9.2,20.6,0.447,2.8,7.4,0.378,1.8,1.8,1,1.8,5.4,7.2,6.8,2,0.2,2,1.4
23,Jaylen Brown,BOS,20,37.5,22.7,9.1,18.3,0.496,2,5.7,0.354,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1
24,Anthony Davis,LAL,16,38,22.6,8.3,15.9,0.52,0.3,0.9,0.333,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9
25,Norman Powell,LAC,5,33.5,21.8,7.2,15.2,0.474,2.6,6.4,0.406,4.8,6.2,0.774,0.8,2.2,3,2.2,0.8,0.4,1.6,3.2
26,Darius Garland,CLE,5,37.7,20.6,7,16,0.438,2.4,6.2,0.387,4.2,5,0.84,0,1.8,1.8,5,1.6,0.2,3.6,3.4
27,Tyrese Maxey,PHI,11,38.5,20.5,7.5,17.5,0.427,3.1,7.7,0.4,2.5,2.8,0.903,0.8,4,4.8,2.3,1.4,0.5,0.7,2.4
28,James Harden,PHI,11,38.8,20.3,6.5,16.6,0.393,2.8,7.5,0.378,4.4,5,0.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5
29,R.J. Barrett,NYK,11,34.3,19.3,6.5,14.9,0.433,1.8,5.5,0.328,4.5,5.9,0.769,0.5,4,4.5,2.8,0.8,0.2,2.3,2.3
30,Malik Monk,SAC,7,29.3,19,5.4,13.3,0.409,1.9,5.6,0.333,6.3,7,0.898,0.9,4.6,5.4,3.6,0.7,0.4,2,2.1
31,Brook Lopez,MIL,5,36.3,19,7.8,13.4,0.582,1.4,3.4,0.412,2,2.6,0.769,2.8,3.6,6.4,1.2,1.4,1.8,2.2,2
32,Klay Thompson,GSW,13,36,18.5,6.5,16.8,0.388,3.8,10.5,0.368,1.6,1.8,0.875,0.1,4.1,4.2,2.2,0.5,0.3,2,2.2
33,Cameron Johnson,BRK,4,38,18.5,7,13.8,0.509,3,7,0.429,1.5,1.8,0.857,0.8,5,5.8,2.8,0.8,0.3,1.3,2.5
34,Karl-Anthony Towns,MIN,5,36,18.2,6.4,14,0.457,1.2,4.8,0.25,4.2,5.6,0.75,1.2,9,10.2,2,0.6,0.8,3.6,4.2
35,"Jaren Jackson, Jr.",MEM,6,36.7,18,5.8,13.8,0.422,1.2,4.2,0.28,5.2,6,0.861,3.3,4.5,7.8,1.5,1,2,3,4
36,Bam Adebayo,MIA,23,36.9,17.9,7.3,15.1,0.481,0,0.1,0,3.4,4.1,0.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1
37,Jrue Holiday,MIL,5,38.1,17.8,6.8,17,0.4,2.4,8.4,0.286,1.8,2.6,0.692,0.8,5.8,6.6,8,1,0.4,2.4,2.4
38,Austin Reaves,LAL,16,36.2,16.9,5.6,12.1,0.464,2.4,5.5,0.443,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4
39,Andrew Wiggins,GSW,13,34,16.7,6.4,13.9,0.459,1.5,4.9,0.297,2.5,3.6,0.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5
40,De'Andre Hunter,ATL,6,37.4,16.7,6.5,14.2,0.459,2.3,6.3,0.368,1.3,1.7,0.8,1.2,4.5,5.7,1.2,0.7,0.3,1.5,3.3
41,Julius Randle,NYK,10,33,16.6,5.5,14.7,0.374,1.7,6.6,0.258,3.9,5.5,0.709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,2.4
42,Spencer Dinwiddie,BRK,4,39.9,16.5,5.5,12.8,0.431,1.8,4.5,0.389,3.8,5.5,0.682,0.3,3,3.3,6.5,1.3,0.3,3,1.8
43,Domantas Sabonis,SAC,7,34.7,16.4,7,14.1,0.495,0.1,0.7,0.2,2.3,4,0.571,4.4,6.6,11,4.7,1.4,0.9,3.7,4
44,Tobias Harris,PHI,11,35.6,15.3,6.4,12.2,0.522,1.4,3.7,0.366,1.2,1.4,0.867,1.5,5.7,7.3,1.6,0.6,0.5,0.7,2.5
45,Rudy Gobert,MIN,5,35.4,15,5.8,9.2,0.63,0,0,0,3.4,5.4,0.63,3.6,8.6,12.2,2,0.4,1,1.6,4.8
46,Caris LeVert,CLE,5,33.9,15,5.4,12.6,0.429,2.6,7.2,0.361,1.6,2.6,0.615,0.8,3.8,4.6,2.6,0.4,0.2,1,2
47,Marcus Smart,BOS,20,34,14.9,5.1,11.2,0.453,2.2,6.1,0.361,2.6,3.3,0.8,1.1,3,4,5.1,1.3,0.3,2.3,1.9
48,Deandre Ayton,PHX,10,31.9,13.4,6.1,11.1,0.55,0,0,0,1.2,2.3,0.522,2.9,6.8,9.7,1,0.6,0.7,1.7,3.5
49,"Michael Porter, Jr.",DEN,20,32.7,13.4,5,11.7,0.423,2.3,6.6,0.351,1.2,1.5,0.793,1,7.1,8.1,1.6,0.5,0.6,0.5,2.1
50,Derrick White,BOS,20,29.7,13.4,4.7,9.2,0.505,2.5,5.5,0.455,1.6,1.7,0.912,0.7,2.3,3,2.1,0.6,1,0.9,1.9
51,Bogdan Bogdanovic,ATL,6,26.1,13.3,5,9,0.556,2.5,5.5,0.455,0.8,1.2,0.714,0.3,2.7,3,2.5,1,0.8,0.5,2.7
52,D'Angelo Russell,LAL,16,29.5,13.3,5.2,12.2,0.426,1.7,5.4,0.31,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2
53,Aaron Gordon,DEN,20,35.6,13.3,5.1,9.8,0.518,0.9,2.3,0.391,2.3,3.5,0.652,2.5,3.6,6,2.6,0.6,0.7,1,2.9
54,Gabe Vincent,MIA,22,30.5,12.7,4.5,11.2,0.402,2.3,6.1,0.378,1.4,1.5,0.882,0.4,1,1.4,3.5,0.9,0.2,1.4,3
55,Caleb Martin,MIA,23,30.2,12.7,4.7,9,0.529,1.9,4.5,0.423,1.3,1.5,0.829,1.2,4.3,5.4,1.6,0.9,0.4,1,2.4
56,Chris Paul,PHX,7,35.7,12.4,5.4,13,0.418,1.3,4,0.321,0.3,0.6,0.5,0.7,4.3,5,7.4,1.7,0.7,1,2.3
57,Rui Hachimura,LAL,16,24.3,12.2,4.6,8.2,0.557,1.2,2.4,0.487,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6
58,"Bruce Brown, Jr.",DEN,20,26.5,12,4.5,8.8,0.511,0.9,2.9,0.316,2.1,2.5,0.857,0.8,3.3,4,1.9,1.1,0.5,1.2,2.5
59,Mike Conley,MIN,5,36.6,12,4,8.4,0.476,2,4.4,0.455,2,2.2,0.909,0.4,2.2,2.6,6.4,0.6,0,1.4,2.2
60,Pat Connaughton,MIL,4,22.1,12,4.3,7.5,0.567,2.8,5.8,0.478,0.8,1,0.75,1,4,5,1.8,1,0.3,0.5,2.5
61,Tyler Herro,MIA,1,19.5,12,5,9,0.556,2,4,0.5,0,0,0,0,2,2,2,0,1,1,1
62,Malcolm Brogdon,BOS,19,24.9,11.9,4.3,10.3,0.418,1.7,4.6,0.379,1.5,1.8,0.829,0.7,2.8,3.5,2.9,0.2,0.3,1,1.5
63,Grayson Allen,MIL,5,29.9,11.6,3.8,8.2,0.463,2.8,5.8,0.483,1.2,1.4,0.857,0.2,2.2,2.4,1.8,0.4,0,0.8,1.4
64,Victor Oladipo,MIA,2,22.7,11.5,5,9.5,0.526,1,2.5,0.4,0.5,1.5,0.333,0.5,3,3.5,1,1,0.5,1,2.5
65,John Collins,ATL,6,27.4,11.3,4.3,10,0.433,1.8,5.3,0.344,0.8,1,0.833,1.2,3.2,4.3,0.8,0.3,1,1.5,2.2
66,Harrison Barnes,SAC,7,28.1,10.7,3.6,8.6,0.417,0.9,3.6,0.24,2.7,3.7,0.731,1.4,2,3.4,0.7,1.1,0.3,0.4,0.7
67,Kentavious Caldwell-Pope,DEN,20,33.5,10.6,3.7,8.1,0.457,1.8,4.6,0.38,1.5,1.8,0.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4
68,Terance Mann,LAC,5,26.6,10.6,3.8,6.6,0.576,1.8,3.8,0.474,1.2,1.8,0.667,1.4,1.8,3.2,2.2,0.8,0.2,1.8,3.4
69,Nicolas Claxton,BRK,4,29.2,10.5,4.5,6.3,0.72,0,0,0,1.5,2.5,0.6,1.3,6.8,8,1.5,0.3,1.8,0.8,2
70,Dillon Brooks,MEM,6,27.9,10.5,4,12.8,0.312,1.7,7,0.238,0.8,1.2,0.714,0.5,2.5,3,1.8,0.2,0,1.2,3.3
71,Josh Hart,NYK,11,32.1,10.4,4.1,8.5,0.479,0.9,2.9,0.313,1.3,2,0.636,1.6,5.7,7.4,2.2,0.8,0.3,1.9,3.5
72,Jordan Poole,GSW,13,21.8,10.3,3.5,10.4,0.341,1.2,4.8,0.254,2,2.6,0.765,0.3,1.8,2.2,3.5,0.8,0.2,1.2,2.5
73,Eric Gordon,LAC,5,29.8,10.2,3.6,8.8,0.409,2,5.8,0.345,1,1.2,0.833,0.2,1.2,1.4,2.6,0.6,0.4,0.8,2.4
74,Evan Mobley,CLE,5,37.5,9.8,4.4,9.6,0.458,0,0.2,0,1,1.6,0.625,3,7,10,2,0.6,1.2,2.4,2.6
75,Keegan Murray,SAC,7,27.7,9.7,3.7,8.3,0.448,1.7,4.6,0.375,0.6,0.9,0.667,2.1,4.1,6.3,0.7,0.6,0.3,0.6,2.6
76,Bobby Portis,MIL,5,21.5,9.6,4,8.2,0.488,1,3.6,0.278,0.6,0.6,1,2,6.2,8.2,1.2,0.6,0.4,0.8,3
77,Draymond Green,GSW,12,30.6,9.4,3.5,7.6,0.462,0.4,1.7,0.25,2,2.8,0.727,1.6,5.3,6.9,6.8,1.5,1,2.3,4
78,Jarrett Allen,CLE,5,38.1,9.4,4.4,7.2,0.611,0,0,0,0.6,1.2,0.5,3,4.4,7.4,2.4,0.8,1,0.6,2
79,Max Strus,MIA,23,28.2,9.3,3.3,8.2,0.402,1.9,5.9,0.319,0.9,1.1,0.8,0.6,3,3.6,1.4,0.3,0.3,0.3,2
80,Kyle Lowry,MIA,23,26.1,9.2,3.2,7.6,0.425,1.4,3.8,0.375,1.3,1.4,0.939,0.5,3,3.5,4.4,1,0.6,1.7,2.6
81,Ivica Zubac,LAC,5,26,9.2,3.4,6,0.567,0,0,0,2.4,3.2,0.75,3.2,6.4,9.6,0.6,0.6,0.2,2.2,1.6
82,Kevin Huerter,SAC,7,26.2,9.1,3.6,10.3,0.347,1.1,5.6,0.205,0.9,1.1,0.75,0.1,4.3,4.4,1.1,0.4,1.3,0.6,3.3
83,Duncan Robinson,MIA,23,18.2,9,3.3,6.9,0.475,2.2,4.9,0.442,0.3,0.3,0.875,0,1.4,1.5,1.7,0.3,0.1,0.9,1.6
84,Immanuel Quickley,NYK,8,21.9,9,2.9,8.3,0.348,1.1,4.6,0.243,2.1,2.5,0.85,0.3,1.4,1.6,1,0.5,0,1.1,1.4
85,"Xavier Tillman, Sr.",MEM,6,30.6,8.7,4,7.5,0.533,0.2,0.7,0.25,0.5,0.8,0.6,2.8,5.2,8,3.2,0.7,0.7,0.7,2.8
86,Marcus Morris,LAC,3,22.8,8.7,3.3,9.7,0.345,0.7,4,0.167,1.3,1.3,1,0.3,3.7,4,0,0.3,0.3,0.3,2
87,Bones Hyland,LAC,5,16.5,8.6,3,8.8,0.341,1,4,0.25,1.6,2,0.8,0.2,0.6,0.8,0.8,0.8,0.2,0.8,1.8
88,Kyle Anderson,MIN,4,25.9,8.5,3.8,7.5,0.5,0.5,1.5,0.333,0.5,0.5,1,0.8,3.3,4,4.5,1.8,0.5,1.5,3.3
89,Nickeil Alexander-Walker,MIN,5,29.6,8.4,3,7,0.429,2,5,0.4,0.4,0.6,0.667,0.2,1.8,2,1.4,0.6,0.2,0.8,1.8
90,Clint Capela,ATL,6,25.2,8.3,3.8,6.3,0.605,0,0,0,0.7,1,0.667,2.5,5.8,8.3,0.5,1,0.5,0.7,0.8
91,Seth Curry,BRK,3,19.4,8.3,3.3,6.3,0.526,1,3,0.333,0.7,1,0.667,0,1,1,2,0,0,0.3,0.7
92,Mason Plumlee,LAC,5,18.2,8.2,2.8,3.2,0.875,0,0,0,2.6,2.8,0.929,3.2,3.6,6.8,1.8,0.4,0.4,0.6,3
93,Cameron Payne,PHX,7,21.8,8.1,3.3,6.9,0.479,1.6,3.9,0.407,0,0.4,0,0,2,2,2.9,0.4,0.3,1.3,2.1
94,De'Anthony Melton,PHI,11,24.9,7.9,2.8,7.4,0.383,1.7,4.5,0.388,0.5,0.7,0.75,1.3,2,3.3,1.6,1.2,0.8,0.7,1.8
95,Taurean Prince,MIN,5,20,7.8,2.4,6.6,0.364,1.6,4.2,0.381,1.4,1.8,0.778,0.6,0.8,1.4,0.8,0.6,0.2,1,1.8
96,Robert Williams,BOS,20,20.9,7.7,3.4,4.3,0.788,0,0.1,0,1,1.4,0.679,1.8,4.2,6,1,0.5,1.3,0.8,2.2
97,Saddiq Bey,ATL,6,22.1,7.5,2.5,6.7,0.375,1.2,3,0.389,1.3,1.5,0.889,1.2,2.8,4,1,0.5,0,0.3,0.5
98,Dennis Schroder,LAL,16,26.1,7.4,2.6,6.4,0.398,0.8,2.4,0.333,1.4,1.8,0.821,0.2,1.8,1.9,2.9,1,0.2,1.3,2.5
99,Luke Kennard,MEM,5,21.3,7.2,2.4,4.6,0.522,1.6,3.2,0.5,0.8,0.8,1,1,3,4,1.4,0.8,0,0.2,1.6
100,Davion Mitchell,SAC,7,20,7.1,2.7,6.6,0.413,1,3.9,0.259,0.7,0.9,0.833,0.4,0.9,1.3,1.7,0.9,0.1,0.9,1
